No.,Estado,Sistema,Nombre_común,Género,Especie,Región, Localidad,Latitud,Longitud,Altitud,CodMunicip,Municipio
NA,Oaxaca,Forestal,Encino hoja delgada,Quercus,salicifolia,Sierra Sur,Santiago Textitlán,16.691694,-97.26,1900,20491,Santiago Textitlán
NA,Oaxaca,Forestal,Encino roble,Quercus,crassifolia,Sierra Sur,Santiago Textitlán,16.691694,-97.26,1900,20491,Santiago Textitlán
NA,Oaxaca,Forestal,Encino rojo,Quercus,castanea,Sierra Sur,Santiago Textitlán,16.691694,-97.26,1900,20491,Santiago Textitlán
NA,Oaxaca,Forestal,Encino rojo,Quercus,elliptica,Sierra Sur,Santiago Textitlán,16.691694,-97.26,1900,20491,Santiago Textitlán
NA,Oaxaca,Forestal,palo te tila,Ternstroemia,lineata,Sierra Sur,Santiago Textitlán,16.691694,-97.26,1900,20491,Santiago Textitlán
NA,Oaxaca,Agroforestal,frijol,Phaseolus,vulgaris,region loxicha,la sirena,16.03477778,-97.03430833,1838,20085,San Agustin Loxicha
NA,Oaxaca,Agroforestal,frijol,Phaseolus,vulgaris,region loxicha,Chilpa,16.03477778,-97.03430833,1838,20085,San Agustin Loxicha
NA,Oaxaca,Agroforestal,Caña,Saccharum,officinarum,region loxicha,chilapa loxicha,16.034775,-97.03430556,1838,20085,San Agustin Loxicha
NA,Oaxaca,Agroforestal,Maíz,Zea,mays,region loxicha,la sirena,16.03477222,-97.03430278,1838,20085,San Agustin Loxicha
NA,Oaxaca,Agroforestal,Maíz,Zea,mays,region loxicha,Chilapa,16.03477222,-97.03430278,1838,20085,San Agustin Loxicha
NA,Oaxaca,Agroforestal,Maíz,Zea,mays,region loxicha,Loma Bonita,16.03477222,-97.03430278,1838,20085,San Agustin Loxicha
NA,Oaxaca,Agroforestal,Maíz,Zea,mays,region loxicha,Rio Linda Vista,16.03477222,-97.03430278,1838,20085,San Agustin Loxicha
NA,Oaxaca,Agroforestal,Maíz,Zea,mays,region loxicha,San Vicente Yogondoy,16.03477222,-97.03430278,1838,20085,San Agustin Loxicha
NA,Oaxaca,Agroforestal,Maíz,Zea,mays,region loxicha,El aguacate,16.03477222,-97.03430278,1838,20085,San Agustin Loxicha
NA,Oaxaca,Agroforestal,Maíz,Zea,mays,region loxicha,Llano Maguey,16.03477222,-97.03430278,1838,20085,San Agustin Loxicha
NA,Oaxaca,Agroforestal,Maíz,Zea,mays,region loxicha,Llano paraje,16.03477222,-97.03430278,1838,20085,San Agustin Loxicha
NA,Oaxaca,Agroforestal,Maíz,Zea,mays,region loxicha,Llano palmar,16.03477222,-97.03430278,1838,20085,San Agustin Loxicha
NA,Oaxaca,Agroforestal,Maíz,Zea,mays,region loxicha,San Agustin loxicha,16.03477222,-97.03430278,1838,20085,San Agustin Loxicha
